epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.53,2.23555,6.20284,1.41896,0,0,0,0,1.92728,6.03073,1.22839,0.000171256,0.000171256,0.000171256
2,369.11,2.07081,5.03536,1.26371,0.0077,0.51971,0.04448,0.01373,1.9295,5.556,1.19781,0.000339727,0.000339727,0.000339727
3,543.022,1.92382,4.43436,1.2065,0.01299,0.88889,0.22649,0.08475,2.00823,4.69845,1.38398,0.000501254,0.000501254,0.000501254
4,716.762,1.94206,4.08353,1.27744,0.6686,0.15921,0.26933,0.12427,1.98484,4.32733,1.42674,0.000494756,0.000494756,0.000494756
5,889.937,1.91401,3.85093,1.24403,0.70273,0.29198,0.38928,0.18994,1.96738,4.26072,1.44727,0.000484341,0.000484341,0.000484341
6,1063.55,1.91078,3.49508,1.25012,0.44437,0.34577,0.41562,0.17053,2.04793,3.73921,1.46271,0.000473926,0.000473926,0.000473926
7,1236.62,1.84164,3.35734,1.22801,0.66192,0.32386,0.54144,0.22896,2.11189,3.60791,1.50043,0.000463511,0.000463511,0.000463511
8,1409.67,1.81584,3.0722,1.19326,0.41783,0.43017,0.5293,0.25481,2.10664,3.39465,1.50106,0.000453096,0.000453096,0.000453096
9,1582.63,1.86967,2.95751,1.24952,0.56667,0.47442,0.53014,0.24061,2.14698,3.44023,1.53019,0.000442682,0.000442682,0.000442682
10,1756.27,1.79817,2.88705,1.23336,0.61171,0.51593,0.65168,0.28991,2.10656,3.27756,1.55764,0.000432267,0.000432267,0.000432267
11,1928.6,1.83869,2.7008,1.21373,0.672,0.55608,0.65734,0.28979,2.10398,3.1021,1.53204,0.000421852,0.000421852,0.000421852
12,2101.05,1.76971,2.48705,1.20938,0.60527,0.69053,0.73971,0.3776,1.94588,2.90103,1.40907,0.000411437,0.000411437,0.000411437
13,2273.18,1.74453,2.38371,1.20082,0.77102,0.60186,0.73301,0.344,1.99877,2.73356,1.42923,0.000401022,0.000401022,0.000401022
14,2457.91,1.74597,2.41959,1.1978,0.64835,0.58532,0.79702,0.36176,2.02682,2.79274,1.48021,0.000390608,0.000390608,0.000390608
15,2645.66,1.68177,2.28994,1.19436,0.55504,0.73735,0.81119,0.34653,2.07455,2.74282,1.51663,0.000380193,0.000380193,0.000380193
